"Antibody","Virus","Study","IC50 (ug/mL)"
"3BNC117/PGT135-IgG3C","AC10_29","Bournazos2016_dataset1","3.149"
"8ANC195/PGT128-IgG3C","AC10_29","Bournazos2016_dataset1","0.009"
"M36/PRO-140","AC10_29","Khan2018_dataset1","0.0239"
"N6/10E8v4-PGDM1400","AC10_29","Xu2017","0.287"
"N6/PGDM1400-10E8v4","AC10_29","Xu2017","0.132"
"PG16/PGT121","AC10_29","Bournazos2016_dataset1","0.055"
"PG16/PGT128","AC10_29","Bournazos2016_dataset1","0.04"
"PGDM1400/PRO-140","AC10_29","Khan2018_dataset1","0.0536"
"PGT151/10-1074-IgG3C","AC10_29","Bournazos2016_dataset1","0.016"
"PGT151/35O22","AC10_29","Bournazos2016_dataset1","0.028"
"RoAb13/PGDM1400/PGT121","AC10_29","Khan2018_dataset1","0.1505"
"VRC01/PGDM1400-10E8v4","AC10_29","Xu2017","0.221"
"N6/10E8v4-PGDM1400","ADA","Xu2017","0.1"
"N6/PGDM1400-10E8v4","ADA","Xu2017","0.036"
"VRC01/PGDM1400-10E8v4","ADA","Xu2017","0.125"
"10E8-0fH/0fL","BAL_01","Georgiev2014","1.57"
"10E8-0fH/4fL","BAL_01","Georgiev2014","0.451"
"10E8-10fH/10fL","BAL_01","Georgiev2014","0.848"
"10E8-10fH/16fL","BAL_01","Georgiev2014","0.469"
"10E8-10fH/4fL","BAL_01","Georgiev2014","1.98"
"10E8-19fH/10fL","BAL_01","Georgiev2014","0.235"
"10E8-19fH/16fL","BAL_01","Georgiev2014","0.263"
"10E8-2fH/0fL","BAL_01","Georgiev2014","1.27"
"10E8-2fH/10fL","BAL_01","Georgiev2014","0.326"
"10E8-2fH/4fL","BAL_01","Georgiev2014","3.12"
"N6/10E8v4-PGDM1400","BAL_01","Xu2017","0.013"
"N6/PGDM1400-10E8v4","BAL_01","Xu2017","0.004"
"VRC01-0fH/0fL","BAL_01","Georgiev2014",">50"
"VRC01-30fH/10fL","BAL_01","Georgiev2014","0.013"
"VRC01-30fH/19fL","BAL_01","Georgiev2014","0.02"
"VRC01-5fH/0fL","BAL_01","Georgiev2014",">50"
"VRC01-5fH/10fL","BAL_01","Georgiev2014","0.052"
"VRC01-5fH/6fL","BAL_01","Georgiev2014","0.031"
"VRC01-8fH/10fL","BAL_01","Georgiev2014","0.021"
"VRC01-8fH/19fL","BAL_01","Georgiev2014","0.207"
"VRC01-8fH/6fL","BAL_01","Georgiev2014","0.084"
"VRC01/PGDM1400-10E8v4","BAL_01","Xu2017","0.012"
"N6/10E8v4-PGDM1400","BAL_26","Xu2017","0.01"
"N6/PGDM1400-10E8v4","BAL_26","Xu2017","0.004"
"PG16/PGT121","BAL_26","Bournazos2016_dataset1","3.266"
"PG16/PGT128","BAL_26","Bournazos2016_dataset1","4.691"
"VRC01/PGDM1400-10E8v4","BAL_26","Xu2017","0.014"
"N6/10E8v4-PGDM1400","BB201_B42","Xu2017","0.002"
"N6/PGDM1400-10E8v4","BB201_B42","Xu2017","0.001"
"VRC01/PGDM1400-10E8v4","BB201_B42","Xu2017","0.006"
"N6/10E8v4-PGDM1400","BB539_2B13","Xu2017","0.031"
"N6/PGDM1400-10E8v4","BB539_2B13","Xu2017","0.011"
"VRC01/PGDM1400-10E8v4","BB539_2B13","Xu2017","0.009"
"10E8/N6","BF1266_431A","Khan2018_dataset1","0.1496"
"10E8/PGDM1400/PRO-140","BF1266_431A","Khan2018_dataset1","0.011"
"10E8/PGT121/PGDM1400.V1","BF1266_431A","Khan2018_dataset2","0.048"
"10E8/PGT121/PGDM1400.V2","BF1266_431A","Khan2018_dataset2","0.109"
"10E8/PGT121/PGDM1400.V3","BF1266_431A","Khan2018_dataset2","0.005"
"10E8/PGT121/PGDM1400.V4","BF1266_431A","Khan2018_dataset2","0.061"
"10E8/PGT121/PGDM1400.V5","BF1266_431A","Khan2018_dataset2","0.006"
"10E8/PGT121/PGDM1400.V6","BF1266_431A","Khan2018_dataset2","0.065"
"10E8/PGT121/PGDM1400.V7","BF1266_431A","Khan2018_dataset2","0.041"
"10E8/PGT121/PGDM1400.V8","BF1266_431A","Khan2018_dataset2","0.004"
"10E8/PGT121/PGDM1400.V8","BF1266_431A","Khan2018_dataset1","0.0133"
"10E8V1.1/P140","BF1266_431A","Huang2016","0.006"
"10E8V2.0/iMab","BF1266_431A","Huang2016","0.005"
"3BNC117/10-1074","BF1266_431A","Bournazos2016_dataset1","0.358"
"3BNC117/10-1074-IgG3C","BF1266_431A","Bournazos2016_dataset1","0.098"
"3BNC117/PGT135-IgG3C","BF1266_431A","Bournazos2016_dataset1","0.011"
"8ANC195/PGT128-IgG3C","BF1266_431A","Bournazos2016_dataset1",">30"
"M36/PRO-140","BF1266_431A","Khan2018_dataset1","0.043"
"PG16/PGT121","BF1266_431A","Bournazos2016_dataset1","0.004"
"PG16/PGT128","BF1266_431A","Bournazos2016_dataset1","0.006"
"PGDM1400/PRO-140","BF1266_431A","Khan2018_dataset1","0.0001"
"PGT151/10-1074-IgG3C","BF1266_431A","Bournazos2016_dataset1",">30"
"PGT151/35O22","BF1266_431A","Bournazos2016_dataset1",">50"
"PRO-140/PGDM1400/PGT121","BF1266_431A","Khan2018_dataset1","0.005"
"RoAb13/PGDM1400/PGT121","BF1266_431A","Khan2018_dataset1","0.0078"
"10E8-0fH/0fL","BG1168_1","Georgiev2014","1.22"
"10E8-0fH/4fL","BG1168_1","Georgiev2014","0.366"
"10E8-10fH/10fL","BG1168_1","Georgiev2014","0.525"
"10E8-10fH/16fL","BG1168_1","Georgiev2014","0.331"
"10E8-10fH/4fL","BG1168_1","Georgiev2014","1.42"
"10E8-19fH/10fL","BG1168_1","Georgiev2014","0.371"
"10E8-19fH/16fL","BG1168_1","Georgiev2014","0.267"
"10E8-2fH/0fL","BG1168_1","Georgiev2014","2.15"
"10E8-2fH/10fL","BG1168_1","Georgiev2014","0.41"
"10E8-2fH/4fL","BG1168_1","Georgiev2014","1.02"
"N6/10E8v4-PGDM1400","BG1168_1","Xu2017","0.514"
"N6/PGDM1400-10E8v4","BG1168_1","Xu2017","0.295"
"VRC01-0fH/0fL","BG1168_1","Georgiev2014",">50"
"VRC01-30fH/10fL","BG1168_1","Georgiev2014","0.236"
"VRC01-30fH/19fL","BG1168_1","Georgiev2014","0.686"
"VRC01-5fH/0fL","BG1168_1","Georgiev2014",">50"
"VRC01-5fH/10fL","BG1168_1","Georgiev2014",">50"
"VRC01-5fH/6fL","BG1168_1","Georgiev2014",">50"
"VRC01-8fH/10fL","BG1168_1","Georgiev2014",">50"
"VRC01-8fH/19fL","BG1168_1","Georgiev2014",">50"
"VRC01-8fH/6fL","BG1168_1","Georgiev2014",">50"
"VRC01/PGDM1400-10E8v4","BG1168_1","Xu2017","0.793"
"N6/10E8v4-PGDM1400","BG505_W6M_C2","Xu2017","0.011"
"N6/PGDM1400-10E8v4","BG505_W6M_C2","Xu2017","0.005"
"VRC01/PGDM1400-10E8v4","BG505_W6M_C2","Xu2017","0.018"
"10E8V2.0/iMab","BG505_W6M_C2_T332N","Wagh2018","0.003"
"3BNC117/PGT135-IgG3C","BG505_W6M_C2_T332N","Wagh2018","0.012"
"N6/10E8v4-PGDM1400","BI369_9A","Xu2017","0.06"
"N6/PGDM1400-10E8v4","BI369_9A","Xu2017","0.011"
"VRC01/PGDM1400-10E8v4","BI369_9A","Xu2017","0.01"
"10E8/PGT121/PGDM1400.V8","BJOX002000_03_2","Khan2018_dataset3","0.0671"
"10E8/PGT121/PGDM1400.V8.4DS","BJOX002000_03_2","Khan2018_dataset3","0.0292"
"N6/10E8v4-PGDM1400","BJOX002000_03_2","Xu2017","0.016"
"N6/PGDM1400-10E8v4","BJOX002000_03_2","Xu2017","0.009"
"VRC01/PGDM1400-10E8v4","BJOX002000_03_2","Xu2017","0.006"
"10E8/N6","BJOX009000_02_4","Khan2018_dataset1","0.1307"
"10E8/PGDM1400/PRO-140","BJOX009000_02_4","Khan2018_dataset1","0.038"
"10E8/PGT121/PGDM1400.V8","BJOX009000_02_4","Khan2018_dataset1","0.1068"
"10E8V1.1/P140","BJOX009000_02_4","Huang2016","0.008"
"10E8V2.0/iMab","BJOX009000_02_4","Huang2016","0.004"
"3BNC117/10-1074","BJOX009000_02_4","Bournazos2016_dataset1","2.557"
"3BNC117/10-1074-IgG3C","BJOX009000_02_4","Bournazos2016_dataset1","1.194"
"3BNC117/PGT135-IgG3C","BJOX009000_02_4","Bournazos2016_dataset1","0.086"
"8ANC195/PGT128-IgG3C","BJOX009000_02_4","Bournazos2016_dataset1","0.02"
"M36/PRO-140","BJOX009000_02_4","Khan2018_dataset1","0.0741"
"N6/10E8v4-PGDM1400","BJOX009000_02_4","Xu2017","0.033"
"N6/PGDM1400-10E8v4","BJOX009000_02_4","Xu2017","0.096"
"PG16/PGT121","BJOX009000_02_4","Bournazos2016_dataset1","2.032"
"PG16/PGT128","BJOX009000_02_4","Bournazos2016_dataset1","0.721"
"PGDM1400/PRO-140","BJOX009000_02_4","Khan2018_dataset1","0.2"
"PGT151/10-1074-IgG3C","BJOX009000_02_4","Bournazos2016_dataset1",">30"
"PGT151/35O22","BJOX009000_02_4","Bournazos2016_dataset1",">50"
"PRO-140/PGDM1400/PGT121","BJOX009000_02_4","Khan2018_dataset1","1.107"
"RoAb13/PGDM1400/PGT121","BJOX009000_02_4","Khan2018_dataset1","0.6272"
"VRC01/PGDM1400-10E8v4","BJOX009000_02_4","Xu2017","0.099"
"10E8/N6","BJOX010000_06_2","Khan2018_dataset1","0.1307"
"10E8/PGDM1400/PRO-140","BJOX010000_06_2","Khan2018_dataset1","0.01"
"10E8/PGT121/PGDM1400.V8","BJOX010000_06_2","Khan2018_dataset1","0.1068"
"10E8V1.1/P140","BJOX010000_06_2","Huang2016","0.005"
"10E8V2.0/iMab","BJOX010000_06_2","Huang2016","0.003"
"3BNC117/10-1074","BJOX010000_06_2","Bournazos2016_dataset1","12.713"
"3BNC117/10-1074-IgG3C","BJOX010000_06_2","Bournazos2016_dataset1","4.874"
"3BNC117/PGT135-IgG3C","BJOX010000_06_2","Bournazos2016_dataset1","0.036"
"8ANC195/PGT128-IgG3C","BJOX010000_06_2","Bournazos2016_dataset1","0.122"
"M36/PRO-140","BJOX010000_06_2","Khan2018_dataset1","0.0741"
"N6/10E8v4-PGDM1400","BJOX010000_06_2","Xu2017","0.022"
"N6/PGDM1400-10E8v4","BJOX010000_06_2","Xu2017","0.015"
"PG16/PGT121","BJOX010000_06_2","Bournazos2016_dataset1","10.276"
"PG16/PGT128","BJOX010000_06_2","Bournazos2016_dataset1","2.695"
"PGDM1400/PRO-140","BJOX010000_06_2","Khan2018_dataset1","0.2"
"PGT151/10-1074-IgG3C","BJOX010000_06_2","Bournazos2016_dataset1",">30"
"PGT151/35O22","BJOX010000_06_2","Bournazos2016_dataset1",">50"
"PRO-140/PGDM1400/PGT121","BJOX010000_06_2","Khan2018_dataset1","10.84"
"RoAb13/PGDM1400/PGT121","BJOX010000_06_2","Khan2018_dataset1","0.6272"
"VRC01/PGDM1400-10E8v4","BJOX010000_06_2","Xu2017","0.029"
"10E8/N6","BJOX015000_11_5","Khan2018_dataset1","0.0047"
"10E8/PGDM1400/PRO-140","BJOX015000_11_5","Khan2018_dataset1","0.077"
"10E8/PGT121/PGDM1400.V8","BJOX015000_11_5","Khan2018_dataset1","0.0024"
"10E8/PGT121/PGDM1400.V8","BJOX015000_11_5","Khan2018_dataset3",">1"
"10E8/PGT121/PGDM1400.V8Fc","BJOX015000_11_5","Khan2018_dataset3","0.2275"
"10E8/PGT121/PGDM1400.V8LL","BJOX015000_11_5","Khan2018_dataset3",">1"
"10E8V1.1/P140","BJOX015000_11_5","Huang2016","0.003"
"10E8V2.0/iMab","BJOX015000_11_5","Huang2016","0.002"
"3BNC117/10-1074","BJOX015000_11_5","Bournazos2016_dataset1","0.589"
"3BNC117/10-1074-IgG3C","BJOX015000_11_5","Bournazos2016_dataset1","0.152"
"3BNC117/PGT135-IgG3C","BJOX015000_11_5","Bournazos2016_dataset1","0.297"
"8ANC195/PGT128-IgG3C","BJOX015000_11_5","Bournazos2016_dataset1","0.016"
"M36/PRO-140","BJOX015000_11_5","Khan2018_dataset1","0.0633"
"PG16/PGT121","BJOX015000_11_5","Bournazos2016_dataset1","10.879"
"PG16/PGT128","BJOX015000_11_5","Bournazos2016_dataset1","0.591"
"PGDM1400/PRO-140","BJOX015000_11_5","Khan2018_dataset1","0.141"
"PGT151/10-1074-IgG3C","BJOX015000_11_5","Bournazos2016_dataset1",">30"
"PGT151/35O22","BJOX015000_11_5","Bournazos2016_dataset1",">50"
"PRO-140/PGDM1400/PGT121","BJOX015000_11_5","Khan2018_dataset1","9.831"
"RoAb13/PGDM1400/PGT121","BJOX015000_11_5","Khan2018_dataset1","0.145"
"10E8/N6","BJOX025000_01_1","Khan2018_dataset1","0.0231"
"10E8/PGDM1400/PRO-140","BJOX025000_01_1","Khan2018_dataset1","0.013"
"10E8/PGT121/PGDM1400.V8","BJOX025000_01_1","Khan2018_dataset1","0.604"
"10E8V1.1/P140","BJOX025000_01_1","Huang2016","0.001"
"10E8V2.0/iMab","BJOX025000_01_1","Huang2016","0.001"
"3BNC117/10-1074","BJOX025000_01_1","Bournazos2016_dataset1","0.286"
"3BNC117/10-1074-IgG3C","BJOX025000_01_1","Bournazos2016_dataset1","0.145"
"3BNC117/PGT135-IgG3C","BJOX025000_01_1","Bournazos2016_dataset1","0.012"
"8ANC195/PGT128-IgG3C","BJOX025000_01_1","Bournazos2016_dataset1","2.086"
"M36/PRO-140","BJOX025000_01_1","Khan2018_dataset1","0.0139"
"N6/10E8v4-PGDM1400","BJOX025000_01_1","Xu2017","0.019"
"N6/PGDM1400-10E8v4","BJOX025000_01_1","Xu2017","0.01"
"PG16/PGT121","BJOX025000_01_1","Bournazos2016_dataset1","0.271"
"PG16/PGT128","BJOX025000_01_1","Bournazos2016_dataset1","0.086"
"PGDM1400/PRO-140","BJOX025000_01_1","Khan2018_dataset1","0.1089"
"PGT151/10-1074-IgG3C","BJOX025000_01_1","Bournazos2016_dataset1",">30"
"PGT151/35O22","BJOX025000_01_1","Bournazos2016_dataset1",">50"
"PRO-140/PGDM1400/PGT121","BJOX025000_01_1","Khan2018_dataset1","1.457"
"RoAb13/PGDM1400/PGT121","BJOX025000_01_1","Khan2018_dataset1","1.754"
"VRC01/PGDM1400-10E8v4","BJOX025000_01_1","Xu2017","0.011"
"10E8/N6","BJOX028000_10_3","Khan2018_dataset1","0.0003"
"10E8/PGDM1400/PRO-140","BJOX028000_10_3","Khan2018_dataset1","0.003"
"10E8/PGT121/PGDM1400.V8","BJOX028000_10_3","Khan2018_dataset1","0.274"
"10E8V1.1/P140","BJOX028000_10_3","Huang2016","0.001"
"10E8V2.0/iMab","BJOX028000_10_3","Huang2016","0.003"
"3BNC117/10-1074","BJOX028000_10_3","Bournazos2016_dataset1","0.044"
"3BNC117/10-1074-IgG3C","BJOX028000_10_3","Bournazos2016_dataset1","0.009"
"3BNC117/PGT135-IgG3C","BJOX028000_10_3","Bournazos2016_dataset1","0.008"
"8ANC195/PGT128-IgG3C","BJOX028000_10_3","Bournazos2016_dataset1","0.015"
"M36/PRO-140","BJOX028000_10_3","Khan2018_dataset1","0.0034"
"N6/10E8v4-PGDM1400","BJOX028000_10_3","Xu2017","0.027"
"N6/PGDM1400-10E8v4","BJOX028000_10_3","Xu2017","0.014"
"PG16/PGT128","BJOX028000_10_3","Bournazos2016_dataset1","1.159"
"PGDM1400/PRO-140","BJOX028000_10_3","Khan2018_dataset1","0.1226"
"PGT151/10-1074-IgG3C","BJOX028000_10_3","Bournazos2016_dataset1","4.719"
"PGT151/35O22","BJOX028000_10_3","Bournazos2016_dataset1","24.369"
"PRO-140/PGDM1400/PGT121","BJOX028000_10_3","Khan2018_dataset1","0.312"
"RoAb13/PGDM1400/PGT121","BJOX028000_10_3","Khan2018_dataset1","0.1552"
"VRC01/PGDM1400-10E8v4","BJOX028000_10_3","Xu2017","0.021"
"N6/10E8v4-PGDM1400","BL01","Xu2017","28.1"
"N6/PGDM1400-10E8v4","BL01","Xu2017","48.9"
"VRC01/PGDM1400-10E8v4","BL01","Xu2017",">50"
"N6/10E8v4-PGDM1400","BR07","Xu2017","0.886"
"N6/PGDM1400-10E8v4","BR07","Xu2017","0.458"
"VRC01/PGDM1400-10E8v4","BR07","Xu2017","0.638"
"N6/10E8v4-PGDM1400","BS208_B1","Xu2017","0.003"
"N6/PGDM1400-10E8v4","BS208_B1","Xu2017","0.002"
"VRC01/PGDM1400-10E8v4","BS208_B1","Xu2017","0.008"
"N6/10E8v4-PGDM1400","BX08_16","Xu2017","0.079"
"N6/PGDM1400-10E8v4","BX08_16","Xu2017","0.009"
"VRC01/PGDM1400-10E8v4","BX08_16","Xu2017","0.011"
"10E8/N6","C1080_C3","Khan2018_dataset1","0.0008"
"10E8/PGDM1400/PRO-140","C1080_C3","Khan2018_dataset1","0.001"
"10E8/PGT121/PGDM1400.V8","C1080_C3","Khan2018_dataset1","0.0033"
"10E8V1.1/P140","C1080_C3","Huang2016","0.002"
"10E8V2.0/iMab","C1080_C3","Huang2016","0.001"
"3BNC117/10-1074","C1080_C3","Bournazos2016_dataset1","0.4"
"3BNC117/10-1074-IgG3C","C1080_C3","Bournazos2016_dataset1","0.241"
"3BNC117/PGT135-IgG3C","C1080_C3","Bournazos2016_dataset1","0.023"
"8ANC195/PGT128-IgG3C","C1080_C3","Bournazos2016_dataset1","0.029"
"M36/PRO-140","C1080_C3","Khan2018_dataset1","0.049"
"N6/10E8v4-PGDM1400","C1080_C3","Xu2017","0.003"
"N6/PGDM1400-10E8v4","C1080_C3","Xu2017","0.002"
"PG16/PGT121","C1080_C3","Bournazos2016_dataset1","0.002"
"PG16/PGT128","C1080_C3","Bournazos2016_dataset1","0.003"
"PGDM1400/PRO-140","C1080_C3","Khan2018_dataset1","0.0015"
"PGT151/10-1074-IgG3C","C1080_C3","Bournazos2016_dataset1","8.094"
"PGT151/35O22","C1080_C3","Bournazos2016_dataset1","0.44"
"PRO-140/PGDM1400/PGT121","C1080_C3","Khan2018_dataset1","0.001"
"RoAb13/PGDM1400/PGT121","C1080_C3","Khan2018_dataset1","0.0105"
"VRC01/PGDM1400-10E8v4","C1080_C3","Xu2017","0.005"
"10E8V1.1/P140","C2101_C1","Huang2016","0.002"
"10E8V2.0/iMab","C2101_C1","Huang2016","0.004"
"3BNC117/10-1074","C2101_C1","Bournazos2016_dataset1","0.131"
"3BNC117/10-1074-IgG3C","C2101_C1","Bournazos2016_dataset1","0.058"
"3BNC117/PGT135-IgG3C","C2101_C1","Bournazos2016_dataset1","0.007"
"8ANC195/PGT128-IgG3C","C2101_C1","Bournazos2016_dataset1","0.019"
"N6/10E8v4-PGDM1400","C2101_C1","Xu2017","0.077"
"N6/PGDM1400-10E8v4","C2101_C1","Xu2017","0.009"
"PG16/10-1074","C2101_C1","Bournazos2016_dataset1","0.164"
"PG16/PGT121","C2101_C1","Bournazos2016_dataset1","0.012"
"PG16/PGT128","C2101_C1","Bournazos2016_dataset1","0.02"
"PGT151/10-1074-IgG3C","C2101_C1","Bournazos2016_dataset1",">30"
"PGT151/35O22","C2101_C1","Bournazos2016_dataset1","29.517"
"VRC01/PGDM1400-10E8v4","C2101_C1","Xu2017","0.022"
"10E8/N6","C3347_C11","Khan2018_dataset1","0.0103"
"10E8/PGDM1400/PRO-140","C3347_C11","Khan2018_dataset1","0.007"
"10E8/PGT121/PGDM1400.V8","C3347_C11","Khan2018_dataset1","0.0041"
"10E8V1.1/P140","C3347_C11","Huang2016","0.001"
"10E8V2.0/iMab","C3347_C11","Huang2016","0.003"
"3BNC117/10-1074","C3347_C11","Bournazos2016_dataset1","0.077"
"3BNC117/10-1074-IgG3C","C3347_C11","Bournazos2016_dataset1","0.038"
"3BNC117/PGT135-IgG3C","C3347_C11","Bournazos2016_dataset1","0.007"
"8ANC195/PGT128-IgG3C","C3347_C11","Bournazos2016_dataset1","0.018"
"M36/PRO-140","C3347_C11","Khan2018_dataset1","0.0131"
"N6/10E8v4-PGDM1400","C3347_C11","Xu2017","0.015"
"N6/PGDM1400-10E8v4","C3347_C11","Xu2017","0.007"
"PG16/PGT121","C3347_C11","Bournazos2016_dataset1","0.019"
"PG16/PGT128","C3347_C11","Bournazos2016_dataset1","0.015"
"PGDM1400/PRO-140","C3347_C11","Khan2018_dataset1","0.0048"
"PGT151/10-1074-IgG3C","C3347_C11","Bournazos2016_dataset1",">30"
"PGT151/35O22","C3347_C11","Bournazos2016_dataset1",">50"
"PRO-140/PGDM1400/PGT121","C3347_C11","Khan2018_dataset1","0.049"
"RoAb13/PGDM1400/PGT121","C3347_C11","Khan2018_dataset1","0.0076"
"VRC01/PGDM1400-10E8v4","C3347_C11","Xu2017","0.018"
"10E8/N6","C4118_9","Khan2018_dataset1","0.0039"
"10E8/PGDM1400/PRO-140","C4118_9","Khan2018_dataset1","0.011"
"10E8/PGT121/PGDM1400.V8","C4118_9","Khan2018_dataset1","0.0014"
"10E8V1.1/P140","C4118_9","Huang2016","0.002"
"10E8V2.0/iMab","C4118_9","Huang2016","0.002"
"3BNC117/10-1074","C4118_9","Bournazos2016_dataset1","0.462"
"3BNC117/10-1074-IgG3C","C4118_9","Bournazos2016_dataset1","0.205"
"3BNC117/PGT135-IgG3C","C4118_9","Bournazos2016_dataset1","0.028"
"8ANC195/PGT128-IgG3C","C4118_9","Bournazos2016_dataset1","0.071"
"M36/PRO-140","C4118_9","Khan2018_dataset1","0.1574"
"N6/10E8v4-PGDM1400","C4118_9","Xu2017","0.006"
"N6/PGDM1400-10E8v4","C4118_9","Xu2017","0.003"
"PG16/PGT121","C4118_9","Bournazos2016_dataset1","0.04"
"PG16/PGT128","C4118_9","Bournazos2016_dataset1","0.03"
"PGDM1400/PRO-140","C4118_9","Khan2018_dataset1","0.0101"
"PGT151/10-1074-IgG3C","C4118_9","Bournazos2016_dataset1","5.567"
"PGT151/35O22","C4118_9","Bournazos2016_dataset1","0.173"
"PRO-140/PGDM1400/PGT121","C4118_9","Khan2018_dataset1","0.022"
"RoAb13/PGDM1400/PGT121","C4118_9","Khan2018_dataset1","0.0684"
"VRC01/PGDM1400-10E8v4","C4118_9","Xu2017","0.009"
"10E8-0fH/0fL","CAAN5342","Georgiev2014",">50"
"10E8-0fH/4fL","CAAN5342","Georgiev2014","13.2"
"10E8-10fH/10fL","CAAN5342","Georgiev2014","4.73"
"10E8-10fH/16fL","CAAN5342","Georgiev2014","3.64"
"10E8-10fH/4fL","CAAN5342","Georgiev2014","11.3"
"10E8-19fH/10fL","CAAN5342","Georgiev2014","1.5"
"10E8-19fH/16fL","CAAN5342","Georgiev2014","1.585"
"10E8-2fH/0fL","CAAN5342","Georgiev2014",">50"
"10E8-2fH/10fL","CAAN5342","Georgiev2014","6.29"
"10E8-2fH/4fL","CAAN5342","Georgiev2014","31.7"
"10E8/N6","CAAN5342","Khan2018_dataset1","0.2362"
"10E8/PGDM1400/PRO-140","CAAN5342","Khan2018_dataset1","0.04"
"10E8/PGT121/PGDM1400.V1","CAAN5342","Khan2018_dataset2","0.517"
"10E8/PGT121/PGDM1400.V2","CAAN5342","Khan2018_dataset2","0.496"
"10E8/PGT121/PGDM1400.V3","CAAN5342","Khan2018_dataset2","0.213"
"10E8/PGT121/PGDM1400.V4","CAAN5342","Khan2018_dataset2","0.247"
"10E8/PGT121/PGDM1400.V5","CAAN5342","Khan2018_dataset2","0.209"
"10E8/PGT121/PGDM1400.V6","CAAN5342","Khan2018_dataset2","0.204"
"10E8/PGT121/PGDM1400.V7","CAAN5342","Khan2018_dataset2","0.204"
"10E8/PGT121/PGDM1400.V8","CAAN5342","Khan2018_dataset1","0.0493"
"10E8/PGT121/PGDM1400.V8","CAAN5342","Khan2018_dataset3","0.0926"
"10E8/PGT121/PGDM1400.V8","CAAN5342","Khan2018_dataset2","0.157"
"10E8/PGT121/PGDM1400.V8Fc","CAAN5342","Khan2018_dataset3","0.3382"
"10E8V1.1/P140","CAAN5342","Huang2016","0.024"
"10E8V2.0/iMab","CAAN5342","Huang2016","0.026"
"3BNC117/10-1074","CAAN5342","Bournazos2016_dataset1","0.115"
"3BNC117/10-1074-IgG3C","CAAN5342","Bournazos2016_dataset1","0.02"
"3BNC117/PGT135-IgG3C","CAAN5342","Bournazos2016_dataset1","0.061"
"8ANC195/PGT128-IgG3C","CAAN5342","Bournazos2016_dataset1","0.088"
"M36/PRO-140","CAAN5342","Khan2018_dataset1","0.0406"
"N6/10E8v4-PGDM1400","CAAN5342","Xu2017","1.18"
"N6/PGDM1400-10E8v4","CAAN5342","Xu2017","0.63"
"PG16/PGT121","CAAN5342","Bournazos2016_dataset1","2.507"
"PG16/PGT128","CAAN5342","Bournazos2016_dataset1","5.701"
"PGDM1400/PRO-140","CAAN5342","Khan2018_dataset1","3.297"
"PGT151/10-1074-IgG3C","CAAN5342","Bournazos2016_dataset1","0.004"
"PGT151/35O22","CAAN5342","Bournazos2016_dataset1","0.058"
"PRO-140/PGDM1400/PGT121","CAAN5342","Khan2018_dataset1","0.028"
"RoAb13/PGDM1400/PGT121","CAAN5342","Khan2018_dataset1","0.4855"
"VRC01-0fH/0fL","CAAN5342","Georgiev2014",">50"
"VRC01-30fH/10fL","CAAN5342","Georgiev2014","0.423"
"VRC01-30fH/19fL","CAAN5342","Georgiev2014","0.882"
"VRC01-5fH/0fL","CAAN5342","Georgiev2014",">50"
"VRC01-5fH/10fL","CAAN5342","Georgiev2014","1.48"
"VRC01-5fH/6fL","CAAN5342","Georgiev2014","0.653"
"VRC01-8fH/10fL","CAAN5342","Georgiev2014","0.674"
"VRC01-8fH/19fL","CAAN5342","Georgiev2014","2.53"
"VRC01-8fH/6fL","CAAN5342","Georgiev2014","2.03"
"VRC01/PGDM1400-10E8v4","CAAN5342","Xu2017","2.83"
"10E8/N6","CAP210_E8","Khan2018_dataset1","1.262"
"10E8/PGDM1400/PRO-140","CAP210_E8","Khan2018_dataset1","0.04"
"10E8/PGT121/PGDM1400.V8","CAP210_E8","Khan2018_dataset1","0.0531"
"10E8V1.1/P140","CAP210_E8","Huang2016","0.006"
"10E8V2.0/iMab","CAP210_E8","Huang2016","0.025"
"3BNC117/10-1074","CAP210_E8","Bournazos2016_dataset1",">20"
"3BNC117/10-1074-IgG3C","CAP210_E8","Bournazos2016_dataset1","12.977"
"3BNC117/PGT135-IgG3C","CAP210_E8","Bournazos2016_dataset1","0.368"
"8ANC195/PGT128-IgG3C","CAP210_E8","Bournazos2016_dataset1","4.888"
"M36/PRO-140","CAP210_E8","Khan2018_dataset1","0.0145"
"N6/10E8v4-PGDM1400","CAP210_E8","Xu2017","0.057"
"N6/PGDM1400-10E8v4","CAP210_E8","Xu2017","0.014"
"PG16/10-1074","CAP210_E8","Bournazos2016_dataset1","0.575"
"PG16/PGT121","CAP210_E8","Bournazos2016_dataset1","0.242"
"PG16/PGT128","CAP210_E8","Bournazos2016_dataset1","0.186"
"PGDM1400/PRO-140","CAP210_E8","Khan2018_dataset1","0.0053"
"PGT151/10-1074-IgG3C","CAP210_E8","Bournazos2016_dataset1","0.042"
"PGT151/35O22","CAP210_E8","Bournazos2016_dataset1","0.095"
"PRO-140/PGDM1400/PGT121","CAP210_E8","Khan2018_dataset1","0.058"
"RoAb13/PGDM1400/PGT121","CAP210_E8","Khan2018_dataset1","0.0787"
"VRC01/PGDM1400-10E8v4","CAP210_E8","Xu2017","0.201"
"N6/10E8v4-PGDM1400","CAP244_D3","Xu2017","0.113"
"N6/PGDM1400-10E8v4","CAP244_D3","Xu2017","0.055"
